ENTIDAD,DISTRITO,assigned_party,assigned_source,postuladores,siglado_ppn,mr_por_convenio,mr_por_afiliacion,winner_by_votes_valid,winner_by_votes_raw
VERACRUZ,2,MORENA,votes_valid,,PVEM,,,MORENA,MORENA
VERACRUZ,3,MORENA,votes_valid,,PVEM,,,MORENA,MORENA
VERACRUZ,4,PAN,votes_valid,,MORENA,,,PAN,PAN
VERACRUZ,5,MORENA,afiliacion_override,,MORENA,MORENA,MORENA,MORENA,MORENA
VERACRUZ,6,MORENA,afiliacion_override,,MORENA,MORENA,MORENA,MORENA,MORENA
VERACRUZ,7,MORENA,afiliacion_override,,MORENA,MORENA,MORENA,MORENA,MORENA
VERACRUZ,8,MORENA,votes_valid,,PAN,,,MORENA,MORENA
VERACRUZ,9,MORENA,votes_valid,,PT,,,MORENA,MORENA
VERACRUZ,10,MORENA,afiliacion_override,,MORENA,MORENA,MORENA,MORENA,MORENA
VERACRUZ,11,MORENA,afiliacion_override,,MORENA,MORENA,MORENA,MORENA,MORENA
VERACRUZ,12,MORENA,afiliacion_override,,MORENA,MORENA,MORENA,MORENA,MORENA
VERACRUZ,13,MORENA,votes_valid,,PVEM,,,MORENA,MORENA
VERACRUZ,14,MORENA,afiliacion_override,,MORENA,MORENA,MORENA,MORENA,MORENA
VERACRUZ,15,MORENA,afiliacion_override,,MORENA,MORENA,MORENA,MORENA,MORENA
VERACRUZ,16,MORENA,afiliacion_override,,MORENA,MORENA,MORENA,MORENA,MORENA
VERACRUZ,17,MORENA,afiliacion_override,,MORENA,MORENA,MORENA,MORENA,MORENA
VERACRUZ,18,MORENA,votes_valid,,PVEM,,,MORENA,MORENA
VERACRUZ,19,MORENA,afiliacion_override,,MORENA,MORENA,MORENA,MORENA,MORENA
YUCATAN,1,MORENA,afiliacion_override,,MORENA,MORENA,MORENA,MORENA,MORENA
YUCATAN,2,MORENA,votes_valid,,PVEM,,,MORENA,MORENA
YUCATAN,3,MORENA,afiliacion_override,,MORENA,MORENA,MORENA,MORENA,MORENA
YUCATAN,4,PAN,votes_valid,,MORENA,,,PAN,PAN
YUCATAN,5,MORENA,votes_valid,,PVEM,,,MORENA,MORENA
YUCATAN,6,MORENA,afiliacion_override,,MORENA,MORENA,MORENA,MORENA,MORENA
ZACATECAS,1,MORENA,afiliacion_override,,MORENA,MORENA,MORENA,MORENA,MORENA
ZACATECAS,2,MORENA,votes_valid,,PVEM,,,MORENA,MORENA
ZACATECAS,3,MORENA,votes_valid,,PT,,,MORENA,MORENA
ZACATECAS,4,MORENA,votes_valid,,PT,,,MORENA,MORENA
