ENTIDAD,ENT_KEY,DISTRITO,DIST_CH,N_PARTY_COLS,PARTY_COLS,TOTAL_VOTOS,N_WINNERS,WINNERS,SIGLADO_DOMINANTE,SIGLADO_PRESENT
JALISCO,JALISCO,17,017,7,MC|MORENA|PAN|PRD|PRI|PT|PVEM,175800,1,MORENA,SIGAMOS HACIENDO HISTORIA,True
JALISCO,JALISCO,18,018,7,MC|MORENA|PAN|PRD|PRI|PT|PVEM,202608,1,MORENA,SIGAMOS HACIENDO HISTORIA,True
JALISCO,JALISCO,19,019,7,MC|MORENA|PAN|PRD|PRI|PT|PVEM,200829,1,MORENA,SIGAMOS HACIENDO HISTORIA,True
JALISCO,JALISCO,20,020,7,MC|MORENA|PAN|PRD|PRI|PT|PVEM,129123,1,MORENA,SIGAMOS HACIENDO HISTORIA,True
MICHOACÁN,MICHOACN,1,001,7,MC|MORENA|PAN|PRD|PRI|PT|PVEM,156394,1,MORENA,FUERZA Y CORAZON POR MEXICO,True
MICHOACÁN,MICHOACN,2,002,7,MC|MORENA|PAN|PRD|PRI|PT|PVEM,143764,1,MORENA,FUERZA Y CORAZON POR MEXICO,True
MICHOACÁN,MICHOACN,3,003,7,MC|MORENA|PAN|PRD|PRI|PT|PVEM,193639,1,MORENA,SIGAMOS HACIENDO HISTORIA,True
MICHOACÁN,MICHOACN,4,004,7,MC|MORENA|PAN|PRD|PRI|PT|PVEM,165481,1,MORENA,SIGAMOS HACIENDO HISTORIA,True
MICHOACÁN,MICHOACN,5,005,7,MC|MORENA|PAN|PRD|PRI|PT|PVEM,175316,1,MORENA,SIGAMOS HACIENDO HISTORIA,True
MICHOACÁN,MICHOACN,6,006,7,MC|MORENA|PAN|PRD|PRI|PT|PVEM,194686,1,MORENA,SIGAMOS HACIENDO HISTORIA,True
MICHOACÁN,MICHOACN,7,007,7,MC|MORENA|PAN|PRD|PRI|PT|PVEM,190416,1,MORENA,SIGAMOS HACIENDO HISTORIA,True
MICHOACÁN,MICHOACN,8,008,7,MC|MORENA|PAN|PRD|PRI|PT|PVEM,175935,1,MORENA,SIGAMOS HACIENDO HISTORIA,True
MICHOACÁN,MICHOACN,9,009,7,MC|MORENA|PAN|PRD|PRI|PT|PVEM,107345,1,MORENA,SIGAMOS HACIENDO HISTORIA,True
MICHOACÁN,MICHOACN,10,010,7,MC|MORENA|PAN|PRD|PRI|PT|PVEM,196242,1,PAN,SIGAMOS HACIENDO HISTORIA,True
MICHOACÁN,MICHOACN,11,011,7,MC|MORENA|PAN|PRD|PRI|PT|PVEM,180296,1,MORENA,SIGAMOS HACIENDO HISTORIA,True
MORELOS,MORELOS,1,001,7,MC|MORENA|PAN|PRD|PRI|PT|PVEM,201087,1,MORENA,SIGAMOS HACIENDO HISTORIA,True
MORELOS,MORELOS,2,002,7,MC|MORENA|PAN|PRD|PRI|PT|PVEM,200721,1,MORENA,SIGAMOS HACIENDO HISTORIA,True
MORELOS,MORELOS,3,003,7,MC|MORENA|PAN|PRD|PRI|PT|PVEM,180353,1,MORENA,SIGAMOS HACIENDO HISTORIA,True
MORELOS,MORELOS,4,004,7,MC|MORENA|PAN|PRD|PRI|PT|PVEM,188160,1,MORENA,SIGAMOS HACIENDO HISTORIA,True
MORELOS,MORELOS,5,005,7,MC|MORENA|PAN|PRD|PRI|PT|PVEM,165528,1,MORENA,SIGAMOS HACIENDO HISTORIA,True
MÉXICO,MXICO,1,001,7,MC|MORENA|PAN|PRD|PRI|PT|PVEM,227748,1,MORENA,SIGAMOS HACIENDO HISTORIA,True
MÉXICO,MXICO,2,002,7,MC|MORENA|PAN|PRD|PRI|PT|PVEM,183978,1,MORENA,SIGAMOS HACIENDO HISTORIA,True
MÉXICO,MXICO,3,003,7,MC|MORENA|PAN|PRD|PRI|PT|PVEM,214870,1,MORENA,SIGAMOS HACIENDO HISTORIA,True
MÉXICO,MXICO,4,004,7,MC|MORENA|PAN|PRD|PRI|PT|PVEM,181990,1,MORENA,SIGAMOS HACIENDO HISTORIA,True
MÉXICO,MXICO,5,005,7,MC|MORENA|PAN|PRD|PRI|PT|PVEM,190402,1,MORENA,SIGAMOS HACIENDO HISTORIA,True
