ENTIDAD,DISTRITO,assigned_party,reason,postuladores,siglado_ppn,winner_by_votes_valid,winner_by_votes_raw
VERACRUZ,11,MORENA,afiliacion,,MORENA,MORENA,MORENA
VERACRUZ,12,MORENA,afiliacion,,MORENA,MORENA,MORENA
VERACRUZ,13,MORENA,winner_valid,,PVEM,MORENA,MORENA
VERACRUZ,14,MORENA,afiliacion,,MORENA,MORENA,MORENA
VERACRUZ,15,MORENA,afiliacion,,MORENA,MORENA,MORENA
VERACRUZ,16,MORENA,afiliacion,,MORENA,MORENA,MORENA
VERACRUZ,17,MORENA,afiliacion,,MORENA,MORENA,MORENA
VERACRUZ,18,MORENA,winner_valid,,PVEM,MORENA,MORENA
VERACRUZ,19,MORENA,afiliacion,,MORENA,MORENA,MORENA
YUCATAN,1,MORENA,afiliacion,,MORENA,MORENA,MORENA
YUCATAN,2,MORENA,winner_valid,,PVEM,MORENA,MORENA
YUCATAN,3,MORENA,afiliacion,,MORENA,MORENA,MORENA
YUCATAN,4,PAN,winner_valid,,MORENA,PAN,PAN
YUCATAN,5,MORENA,winner_valid,,PVEM,MORENA,MORENA
YUCATAN,6,MORENA,afiliacion,,MORENA,MORENA,MORENA
ZACATECAS,1,MORENA,afiliacion,,MORENA,MORENA,MORENA
ZACATECAS,2,MORENA,winner_valid,,PVEM,MORENA,MORENA
ZACATECAS,3,MORENA,winner_valid,,PT,MORENA,MORENA
ZACATECAS,4,MORENA,winner_valid,,PT,MORENA,MORENA
