ENTIDAD,DISTRITO,winner_col,partido_ganador,siglado_dom,siglado_coal,postuladores,coalition_tokens,votos_morena,votos_otros_en_coal
HIDALGO,5,MORENA,MORENA,PAN,FUERZA Y CORAZON POR MEXICO,"['PRD', 'PAN', 'PRI']",['MORENA'],113483.0,{'MORENA': 113483.0}
JALISCO,5,MORENA,MORENA,PRI,FUERZA Y CORAZON POR MEXICO,"['PRD', 'PAN', 'PRI']",['MORENA'],55217.0,{'MORENA': 55217.0}
MEXICO,5,MORENA,MORENA,PAN,FUERZA Y CORAZON POR MEXICO,"['PRD', 'PAN', 'PRI']",['MORENA'],93654.0,{'MORENA': 93654.0}
MICHOACAN,5,MORENA,MORENA,PAN,FUERZA Y CORAZON POR MEXICO,"['PRD', 'PAN', 'PRI']",['MORENA'],61682.0,{'MORENA': 61682.0}
MORELOS,5,MORENA,MORENA,PRI,FUERZA Y CORAZON POR MEXICO,"['PRD', 'PAN', 'PRI']",['MORENA'],70239.0,{'MORENA': 70239.0}
OAXACA,5,MORENA,MORENA,PAN,FUERZA Y CORAZON POR MEXICO,"['PRD', 'PAN', 'PRI']",['MORENA'],81978.0,{'MORENA': 81978.0}
PUEBLA,5,MORENA,MORENA,PRD,FUERZA Y CORAZON POR MEXICO,"['PRD', 'PAN', 'PRI']",['MORENA'],83844.0,{'MORENA': 83844.0}
SINALOA,5,MORENA,MORENA,PAN,FUERZA Y CORAZON POR MEXICO,"['PRD', 'PAN', 'PRI']",['MORENA'],92656.0,{'MORENA': 92656.0}
SONORA,5,MORENA,MORENA,PRI,FUERZA Y CORAZON POR MEXICO,"['PRD', 'PAN', 'PRI']",['MORENA'],74589.0,{'MORENA': 74589.0}
TABASCO,5,MORENA,MORENA,PRD,FUERZA Y CORAZON POR MEXICO,"['PRD', 'PAN', 'PRI']",['MORENA'],124677.0,{'MORENA': 124677.0}
TAMAULIPAS,5,MORENA,MORENA,PRI,FUERZA Y CORAZON POR MEXICO,"['PRD', 'PAN', 'PRI']",['MORENA'],108953.0,{'MORENA': 108953.0}
VERACRUZ,5,MORENA,MORENA,PRD,FUERZA Y CORAZON POR MEXICO,"['PRD', 'PAN', 'PRI']",['MORENA'],112088.0,{'MORENA': 112088.0}
YUCATAN,5,MORENA,MORENA,PRI,FUERZA Y CORAZON POR MEXICO,"['PRD', 'PAN', 'PRI']",['MORENA'],105292.0,{'MORENA': 105292.0}
BAJA CALIFORNIA,6,MORENA,MORENA,PRI,FUERZA Y CORAZON POR MEXICO,"['PRD', 'PAN', 'PRI']",['MORENA'],88852.0,{'MORENA': 88852.0}
CHIAPAS,6,MORENA,MORENA,PRD,FUERZA Y CORAZON POR MEXICO,"['PRD', 'PAN', 'PRI']",['MORENA'],74021.0,{'MORENA': 74021.0}
CIUDAD DE MEXICO,6,MORENA,MORENA,PAN,FUERZA Y CORAZON POR MEXICO,"['PRD', 'PAN', 'PRI']",['MORENA'],92038.0,{'MORENA': 92038.0}
COAHUILA,6,MORENA,MORENA,PRI,FUERZA Y CORAZON POR MEXICO,"['PRD', 'PAN', 'PRI']",['MORENA'],75686.0,{'MORENA': 75686.0}
GUERRERO,6,MORENA,MORENA,PRI,FUERZA Y CORAZON POR MEXICO,"['PRD', 'PAN', 'PRI']",['MORENA'],80024.0,{'MORENA': 80024.0}
HIDALGO,6,MORENA,MORENA,PRI,FUERZA Y CORAZON POR MEXICO,"['PRD', 'PAN', 'PRI']",['MORENA'],108581.0,{'MORENA': 108581.0}
MEXICO,6,MORENA,MORENA,PAN,FUERZA Y CORAZON POR MEXICO,"['PRD', 'PAN', 'PRI']",['MORENA'],100019.0,{'MORENA': 100019.0}
MICHOACAN,6,MORENA,MORENA,PRI,FUERZA Y CORAZON POR MEXICO,"['PRD', 'PAN', 'PRI']",['MORENA'],47266.0,{'MORENA': 47266.0}
OAXACA,6,MORENA,MORENA,PRI,FUERZA Y CORAZON POR MEXICO,"['PRD', 'PAN', 'PRI']",['MORENA'],80366.0,{'MORENA': 80366.0}
PUEBLA,6,MORENA,MORENA,PRD,FUERZA Y CORAZON POR MEXICO,"['PRD', 'PAN', 'PRI']",['MORENA'],98541.0,{'MORENA': 98541.0}
QUERETARO,6,MORENA,MORENA,PAN,FUERZA Y CORAZON POR MEXICO,"['PRD', 'PAN', 'PRI']",['MORENA'],71631.0,{'MORENA': 71631.0}
SINALOA,6,MORENA,MORENA,PRI,FUERZA Y CORAZON POR MEXICO,"['PRD', 'PAN', 'PRI']",['MORENA'],96779.0,{'MORENA': 96779.0}
SONORA,6,MORENA,MORENA,PAN,FUERZA Y CORAZON POR MEXICO,"['PRD', 'PAN', 'PRI']",['MORENA'],89413.0,{'MORENA': 89413.0}
TABASCO,6,MORENA,MORENA,PRI,FUERZA Y CORAZON POR MEXICO,"['PRD', 'PAN', 'PRI']",['MORENA'],107661.0,{'MORENA': 107661.0}
TAMAULIPAS,6,MORENA,MORENA,PAN,FUERZA Y CORAZON POR MEXICO,"['PRD', 'PAN', 'PRI']",['MORENA'],120130.0,{'MORENA': 120130.0}
VERACRUZ,6,MORENA,MORENA,PRD,FUERZA Y CORAZON POR MEXICO,"['PRD', 'PAN', 'PRI']",['MORENA'],92274.0,{'MORENA': 92274.0}
YUCATAN,6,MORENA,MORENA,PAN,FUERZA Y CORAZON POR MEXICO,"['PRD', 'PAN', 'PRI']",['MORENA'],78438.0,{'MORENA': 78438.0}
BAJA CALIFORNIA,7,MORENA,MORENA,PRI,FUERZA Y CORAZON POR MEXICO,"['PRD', 'PAN', 'PRI']",['MORENA'],82931.0,{'MORENA': 82931.0}
CHIAPAS,7,MORENA,MORENA,PRI,FUERZA Y CORAZON POR MEXICO,"['PRD', 'PAN', 'PRI']",['MORENA'],96013.0,{'MORENA': 96013.0}
CHIHUAHUA,7,MORENA,MORENA,PAN,FUERZA Y CORAZON POR MEXICO,"['PRD', 'PAN', 'PRI']",['MORENA'],62303.0,{'MORENA': 62303.0}
CIUDAD DE MEXICO,7,MORENA,MORENA,PRD,FUERZA Y CORAZON POR MEXICO,"['PRD', 'PAN', 'PRI']",['MORENA'],127332.0,{'MORENA': 127332.0}
COAHUILA,7,MORENA,MORENA,PRI,FUERZA Y CORAZON POR MEXICO,"['PRD', 'PAN', 'PRI']",['MORENA'],83668.0,{'MORENA': 83668.0}
GUERRERO,7,MORENA,MORENA,PAN,FUERZA Y CORAZON POR MEXICO,"['PRD', 'PAN', 'PRI']",['MORENA'],82227.0,{'MORENA': 82227.0}
HIDALGO,7,MORENA,MORENA,PRI,FUERZA Y CORAZON POR MEXICO,"['PRD', 'PAN', 'PRI']",['MORENA'],98327.0,{'MORENA': 98327.0}
JALISCO,7,MORENA,MORENA,PRI,FUERZA Y CORAZON POR MEXICO,"['PRD', 'PAN', 'PRI']",['MORENA'],59506.0,{'MORENA': 59506.0}
MEXICO,7,MORENA,MORENA,PAN,FUERZA Y CORAZON POR MEXICO,"['PRD', 'PAN', 'PRI']",['MORENA'],105594.0,{'MORENA': 105594.0}
MICHOACAN,7,MORENA,MORENA,PRD,FUERZA Y CORAZON POR MEXICO,"['PRD', 'PAN', 'PRI']",['MORENA'],76558.0,{'MORENA': 76558.0}
OAXACA,7,MORENA,MORENA,PRI,FUERZA Y CORAZON POR MEXICO,"['PRD', 'PAN', 'PRI']",['MORENA'],88045.0,{'MORENA': 88045.0}
PUEBLA,7,MORENA,MORENA,PRD,FUERZA Y CORAZON POR MEXICO,"['PRD', 'PAN', 'PRI']",['MORENA'],89896.0,{'MORENA': 89896.0}
SINALOA,7,MORENA,MORENA,PRI,FUERZA Y CORAZON POR MEXICO,"['PRD', 'PAN', 'PRI']",['MORENA'],87618.0,{'MORENA': 87618.0}
SONORA,7,MORENA,MORENA,PRI,FUERZA Y CORAZON POR MEXICO,"['PRD', 'PAN', 'PRI']",['MORENA'],83877.0,{'MORENA': 83877.0}
TAMAULIPAS,7,MORENA,MORENA,PRI,FUERZA Y CORAZON POR MEXICO,"['PRD', 'PAN', 'PRI']",['MORENA'],78471.0,{'MORENA': 78471.0}
VERACRUZ,7,MORENA,MORENA,PAN,FUERZA Y CORAZON POR MEXICO,"['PRD', 'PAN', 'PRI']",['MORENA'],94967.0,{'MORENA': 94967.0}
BAJA CALIFORNIA,8,MORENA,MORENA,PAN,FUERZA Y CORAZON POR MEXICO,"['PRD', 'PAN', 'PRI']",['MORENA'],97681.0,{'MORENA': 97681.0}
CHIAPAS,8,MORENA,MORENA,PRI,FUERZA Y CORAZON POR MEXICO,"['PRD', 'PAN', 'PRI']",['MORENA'],63729.0,{'MORENA': 63729.0}
CIUDAD DE MEXICO,8,MORENA,MORENA,PAN,FUERZA Y CORAZON POR MEXICO,"['PRD', 'PAN', 'PRI']",['MORENA'],102667.0,{'MORENA': 102667.0}
COAHUILA,8,MORENA,MORENA,PRD,FUERZA Y CORAZON POR MEXICO,"['PRD', 'PAN', 'PRI']",['MORENA'],73056.0,{'MORENA': 73056.0}
GUANAJUATO,8,MORENA,MORENA,PRD,FUERZA Y CORAZON POR MEXICO,"['PRD', 'PAN', 'PRI']",['MORENA'],89400.0,{'MORENA': 89400.0}
GUERRERO,8,MORENA,MORENA,PRI,FUERZA Y CORAZON POR MEXICO,"['PRD', 'PAN', 'PRI']",['MORENA'],91558.0,{'MORENA': 91558.0}
MEXICO,8,MORENA,MORENA,PRI,FUERZA Y CORAZON POR MEXICO,"['PRD', 'PAN', 'PRI']",['MORENA'],110272.0,{'MORENA': 110272.0}
MICHOACAN,8,MORENA,MORENA,PRI,FUERZA Y CORAZON POR MEXICO,"['PRD', 'PAN', 'PRI']",['MORENA'],63166.0,{'MORENA': 63166.0}
