NOMBRE_ESTADO,ENTIDAD,DF_2021,AÑO_ELECCION,swing_PAN,swing_PRI,swing_PRD,swing_PVEM,swing_PT,swing_MC,swing_MORENA,PAN_local,PRI_local,PRD_local,PVEM_local,PT_local,MC_local,MORENA_local,PAN_fed_2021,PRI_fed_2021,PRD_fed_2021,PVEM_fed_2021,PT_fed_2021,MC_fed_2021,MORENA_fed_2021
México,15,29,2023,28.016185709722073,41.851508979818554,-18.963772515685086,-100.0,-100.0,-100.0,-100.0,12022,38307,8008,0.0,0.0,0.0,0.0,9391.0,27005.0,9882.0,2684.0,2395.0,30974.0,64134.0
México,15,30,2023,-8.233604595500239,-33.56670109797621,-27.452991452991455,-100.0,-100.0,-100.0,-100.0,3834,34730,2122,0.0,0.0,0.0,0.0,4178.0,52278.0,2925.0,3448.0,2091.0,1955.0,54423.0
México,15,31,2023,44.537090281771135,72.7527843549943,3.666708812744974,-100.0,-100.0,-100.0,-100.0,10054,39398,8199,0.0,0.0,0.0,0.0,6956.0,22806.0,7909.0,2869.0,2348.0,31868.0,63124.0
México,15,32,2023,-20.548961424332344,53.98264726988062,-62.733725410667205,-100.0,-100.0,-100.0,-100.0,3213,23604,9188,0.0,0.0,0.0,0.0,4044.0,15329.0,24655.0,11062.0,3019.0,4504.0,60636.0
México,15,33,2023,-50.78425976884975,-25.434738283184295,-40.090283748925195,-100.0,-100.0,-100.0,-100.0,3577,25599,2787,0.0,0.0,0.0,0.0,7268.0,34331.0,4652.0,7452.0,2925.0,6588.0,58650.0
México,15,34,2023,-20.490822609355394,23.780844834797158,-11.114485271788642,-100.0,-100.0,-100.0,-100.0,27247,73990,2927,0.0,0.0,0.0,0.0,34269.0,59775.0,3293.0,6330.0,3210.0,5300.0,64769.0
México,15,35,2023,2.1747376406625363,11.849142130062228,-52.19143576826196,-100.0,-100.0,-100.0,-100.0,8081,56259,3796,0.0,0.0,0.0,0.0,7909.0,50299.0,7940.0,18500.0,9823.0,13261.0,48099.0
México,15,36,2023,-24.21731123388582,-14.670087770954263,-48.94011494963229,-100.0,-100.0,-100.0,-100.0,7407,60859,8262,0.0,0.0,0.0,0.0,9774.0,71322.0,16181.0,13659.0,3261.0,4114.0,67698.0
México,15,37,2023,-11.852270586018467,8.035095820826598,-9.914712153518124,-100.0,-100.0,-100.0,-100.0,18712,32753,2535,0.0,0.0,0.0,0.0,21228.0,30317.0,2814.0,11267.0,2683.0,14279.0,63953.0
México,15,38,2023,-43.44891952042501,11.95946130521485,-45.714285714285715,-100.0,-100.0,-100.0,-100.0,7877,40985,2717,0.0,0.0,0.0,0.0,13929.0,36607.0,5005.0,20549.0,1797.0,3606.0,64680.0
México,15,39,2023,-27.181544633901705,-23.047062666948516,-16.85641998734978,-100.0,-100.0,-100.0,-100.0,3630,40044,2629,0.0,0.0,0.0,0.0,4985.0,52037.0,3162.0,4347.0,2982.0,3158.0,45614.0
México,15,40,2023,-37.011368472247554,23.563981732501226,-33.10052382140184,-100.0,-100.0,-100.0,-100.0,10361,67912,2682,0.0,0.0,0.0,0.0,16449.0,54961.0,4009.0,22687.0,5845.0,6811.0,54082.0
Oaxaca,20,1,2022,-67.66881972988843,-27.58940332731619,-60.75676900419168,-37.695183637563225,-13.528876762164622,-70.27395703080596,-22.020606879125186,2753,29684,3464,2833.0,3803.0,2615.0,71596.0,8515.0,40994.0,8827.0,4547.0,4398.0,8797.0,91814.0
Oaxaca,20,2,2022,-68.8846107568283,-25.15027441414757,-30.304449648711945,-82.06404888536834,-51.525054466230934,-22.714420358152687,-25.722355866691892,2586,34368,5952,1585.0,4895.0,3280.0,54961.0,8311.0,45916.0,8540.0,8837.0,10098.0,4244.0,73994.0
Oaxaca,20,3,2022,-37.9168042258171,-12.391196928807632,-42.64897781644193,-77.76739217519028,-60.0,21.08039670816628,-36.769270388592965,7522,23049,2637,1665.0,5166.0,5738.0,46651.0,12116.0,26309.0,4598.0,7489.0,12915.0,4739.0,73779.0
Oaxaca,20,4,2022,-46.354547671299684,-29.75885274795706,-15.994387934058224,-67.29383017715332,-42.91103017689906,-12.238805970149254,-18.199549887471868,4400,17535,2395,2677.0,8778.0,3234.0,54520.0,8202.0,24964.0,2851.0,8185.0,15376.0,3685.0,66650.0
Oaxaca,20,5,2022,-42.360475754803296,-44.44444444444444,-59.292798620094864,-29.950186799501864,-55.475477349307376,-31.16415958142577,-36.708888475307354,1890,15325,944,3375.0,4757.0,2105.0,57812.0,3279.0,27585.0,2319.0,4818.0,10684.0,3058.0,91343.0
Oaxaca,20,6,2022,-58.40480274442539,-27.51926496739775,-46.09845947756195,-76.65533430467865,-72.79791338368744,-31.52724968314322,-31.180209849123074,1940,19564,3219,1442.0,5006.0,2161.0,44929.0,4664.0,26992.0,5972.0,6177.0,18403.0,3156.0,65285.0
Oaxaca,20,7,2022,-71.19113573407202,-54.607254272011915,-92.98950251026929,-59.89907984565153,-72.33051088253679,-57.50060197447628,-25.575192875620978,1664,19498,768,1351.0,4869.0,1765.0,65019.0,5776.0,42954.0,10955.0,3369.0,17597.0,4153.0,87362.0
Oaxaca,20,8,2022,-31.275988585405628,-8.90294535625714,-47.17455002092926,-62.748517614230906,-41.38860103626943,63.706746721440986,-24.05738629577035,8429,32692,1262,1068.0,5656.0,10361.0,57222.0,12265.0,35887.0,2389.0,2867.0,9650.0,6329.0,75349.0
Oaxaca,20,9,2022,-61.75560007284647,-45.29822261633959,-46.53333333333333,-72.17545414266726,-46.335554209569956,-53.97708674304419,-29.003447423160285,2100,28376,8822,1256.0,4430.0,1406.0,48808.0,5491.0,51874.0,16500.0,4514.0,8255.0,3055.0,68747.0
Oaxaca,20,10,2022,-52.40658644711843,-38.6112688497697,-71.95296361036073,-76.59040378684645,-44.82067510548523,-36.040470330872296,-41.05364094343943,7515,19459,1765,3264.0,5231.0,2339.0,41187.0,15790.0,31698.0,6293.0,13943.0,9480.0,3657.0,69872.0
Quintana Roo,23,1,2022,-60.296554731792405,-86.12562863622917,-80.71144498453381,153.34795321637426,-63.24558480506498,39.46525776496958,-54.13295302404097,13656,2814,873,17329.0,2206.0,8711.0,31518.0,34395.0,20282.0,4526.0,6840.0,6002.0,6246.0,68716.0
Quintana Roo,23,2,2022,2.2483042451032698,-82.99295354114416,51.72467371037912,676.7583212735167,-31.16613808245914,201.2678885262365,-21.533111750411976,13416,4272,9765,26837.0,5643.0,23999.0,56187.0,13121.0,25119.0,6436.0,3455.0,8198.0,7966.0,71606.0
Quintana Roo,23,3,2022,55.3345584261161,-26.184926184926184,-37.7053906024791,266.03015075376885,16.48745519713262,545.7123565158677,-8.436053026619025,14370,3800,2161,29136.0,2600.0,19126.0,43307.0,9251.0,5148.0,3469.0,7960.0,2232.0,2962.0,47297.0
Quintana Roo,23,4,2022,-62.299608373482094,-73.27935222672065,-68.96922745857542,62.768565248738284,-49.9690594059406,122.18992248062015,-50.77524062663606,13381,3036,1442,22576.0,1617.0,11465.0,24446.0,35493.0,11362.0,4647.0,13870.0,3232.0,5160.0,49662.0
Tamaulipas,28,1,2022,-26.458382141303254,-44.68615649183147,-24.293193717277486,-100.0,-100.0,73.58432812978268,-100.0,43947,6433,723,0.0,0.0,5671.0,0.0,59758.0,11630.0,955.0,3003.0,2290.0,3267.0,61129.0
Tamaulipas,28,2,2022,1.818729298404095,-68.0993080993081,-0.6018916595012898,-100.0,-100.0,62.5531914893617,-100.0,50721,3919,1156,0.0,0.0,6876.0,0.0,49815.0,12285.0,1163.0,4810.0,4300.0,4230.0,47645.0
Tamaulipas,28,3,2022,13.994584016920006,-46.295507266960186,40.20779220779221,-100.0,-100.0,25.94692089667611,-100.0,57671,11344,2699,0.0,0.0,4888.0,0.0,50591.0,21123.0,1925.0,4026.0,6241.0,3881.0,58684.0
Tamaulipas,28,4,2022,3.5425346055637688,-49.24640135478408,-5.8171745152354575,-100.0,-100.0,76.70273711012095,-100.0,38523,5994,1020,0.0,0.0,5552.0,0.0,37205.0,11810.0,1083.0,2571.0,2932.0,3142.0,80911.0
Tamaulipas,28,5,2022,9.2724925812075,-63.61311567294893,139.2548236859614,-100.0,-100.0,-57.001462152738725,-100.0,82115,10387,3596,0.0,0.0,3823.0,0.0,75147.0,28546.0,1503.0,3486.0,3976.0,8891.0,56331.0
Tamaulipas,28,6,2022,35.49630318022167,-75.83379706918939,53.755431409062695,-100.0,-100.0,-39.27300850734726,-100.0,99144,6514,2477,0.0,0.0,3926.0,0.0,73171.0,26955.0,1611.0,7381.0,6940.0,6465.0,60542.0
Tamaulipas,28,7,2022,-32.15506782838866,-45.08537810302769,-60.355434039644564,-100.0,-100.0,-20.767853590610702,-100.0,36909,3827,1160,0.0,0.0,3983.0,0.0,54402.0,6969.0,2926.0,2194.0,3726.0,5027.0,76198.0
Tamaulipas,28,8,2022,30.66559319688526,29.37447168216399,40.92940125111707,-100.0,-100.0,31.565527791942888,-100.0,103870,6122,1577,0.0,0.0,7740.0,0.0,79493.0,4732.0,1119.0,2133.0,3166.0,5883.0,71258.0
